call_id,run,physical_ids,track_id,source_request_ids,server_start,duration_ms,result,error,input_lines,latest_evidence_to_http_start_ms_estimate
11,v2-warm-a,"[""S""]",5,"[""438:5:124""]",2825.135421226,822.63,"{""model"": ""jev-1.13.0"", ""answer"": {""type"": ""choice"", ""choice"": ""senezhskaya-0-5l"", ""confidence"": 0.98, ""probabilities"": {""senezhskaya-0-5l"": 0.98, ""saint-spring-0-75l"": 0.0, ""insufficient_evidence"": 0.02, ""prostokvashino-2-5-930ml"": 0.0, ""aqua-minerale-0-5l"": 0.0, ""other_product"": 0.0, ""dobryi-cola-no-sugar-0-5l"": 0.0, ""domik-v-derevne-2-5-930ml"": 0.0, ""stantsiya-molochnaya-kefir-1-0-430g"": 0.0}}, ""usage"": {""input_tokens"": 2269, ""output_tokens"": 181}, ""status"": ""candidate"", ""exact_sku_verified"": false}",,"[{""text"": ""СЕНЕЖСКАЯ"", ""score"": 0.8311104774475098}]",0.19
12,v2-warm-a,"[""D""]",1,"[""437:1:119"", ""440:1:128""]",2836.994143407,842.97,"{""model"": ""jev-1.13.0"", ""answer"": {""type"": ""choice"", ""choice"": ""insufficient_evidence"", ""confidence"": 0.47, ""probabilities"": {""dobryi-cola-no-sugar-0-5l"": 0.0, ""saint-spring-0-75l"": 0.01, ""other_product"": 0.04, ""stantsiya-molochnaya-kefir-1-0-430g"": 0.01, ""insufficient_evidence"": 0.53, ""senezhskaya-0-5l"": 0.02, ""aqua-minerale-0-5l"": 0.01, ""prostokvashino-2-5-930ml"": 0.01, ""domik-v-derevne-2-5-930ml"": 0.37}}, ""usage"": {""input_tokens"": 2335, ""output_tokens"": 178}, ""status"": ""needs_more_evidence"", ""exact_sku_verified"": false}",,"[{""text"": ""BЕР"", ""score"": 0.5056619048118591}, {""text"": ""npo"", ""score"": 0.6612511277198792}, {""text"": ""ФЕРМ"", ""score"": 0.7380644083023071}]",10577.11
13,v2-warm-a,"[""P""]",3,"[""437:3:121"", ""439:3:126"", ""442:3:131"", ""446:3:134""]",2847.838174742,863.02,"{""model"": ""jev-1.13.0"", ""answer"": {""type"": ""choice"", ""choice"": ""insufficient_evidence"", ""confidence"": 0.82, ""probabilities"": {""aqua-minerale-0-5l"": 0.0, ""saint-spring-0-75l"": 0.0, ""senezhskaya-0-5l"": 0.0, ""domik-v-derevne-2-5-930ml"": 0.08, ""insufficient_evidence"": 0.84, ""prostokvashino-2-5-930ml"": 0.06, ""dobryi-cola-no-sugar-0-5l"": 0.0, ""stantsiya-molochnaya-kefir-1-0-430g"": 0.0, ""other_product"": 0.02}}, ""usage"": {""input_tokens"": 2375, ""output_tokens"": 178}, ""status"": ""needs_more_evidence"", ""exact_sku_verified"": false}",,"[{""text"": ""2,5%"", ""score"": 0.9589107632637024}, {""text"": ""681"", ""score"": 0.3961172103881836}, {""text"": ""802"", ""score"": 0.34914565086364746}, {""text"": ""МОЛОКО"", ""score"": 0.886040210723877}]",17097.37
14,v3-warm-a,"[""P""]",1,"[""452:1:137""]",2856.286910508,855.49,"{""model"": ""jev-1.13.0"", ""answer"": {""type"": ""choice"", ""choice"": ""insufficient_evidence"", ""confidence"": 0.81, ""probabilities"": {""dobryi-cola-no-sugar-0-5l"": 0.0, ""senezhskaya-0-5l"": 0.0, ""other_product"": 0.02, ""prostokvashino-2-5-930ml"": 0.05, ""domik-v-derevne-2-5-930ml"": 0.09, ""insufficient_evidence"": 0.84, ""aqua-minerale-0-5l"": 0.0, ""saint-spring-0-75l"": 0.0, ""stantsiya-molochnaya-kefir-1-0-430g"": 0.0}}, ""usage"": {""input_tokens"": 2337, ""output_tokens"": 178}, ""status"": ""needs_more_evidence"", ""exact_sku_verified"": false}",,"[{""text"": ""2,5%"", ""score"": 0.945024847984314}, {""text"": ""U1"", ""score"": 0.39244168996810913}, {""text"": ""МОЛОКО"", ""score"": 0.900402843952179}]",0.29
15,v3-warm-a,"[""D""]",3,"[""452:3:139""]",2857.005242078,819.83,"{""model"": ""jev-1.13.0"", ""answer"": {""type"": ""choice"", ""choice"": ""insufficient_evidence"", ""confidence"": 0.77, ""probabilities"": {""stantsiya-molochnaya-kefir-1-0-430g"": 0.01, ""senezhskaya-0-5l"": 0.01, ""other_product"": 0.05, ""dobryi-cola-no-sugar-0-5l"": 0.01, ""insufficient_evidence"": 0.8, ""saint-spring-0-75l"": 0.05, ""prostokvashino-2-5-930ml"": 0.01, ""domik-v-derevne-2-5-930ml"": 0.03, ""aqua-minerale-0-5l"": 0.03}}, ""usage"": {""input_tokens"": 2367, ""output_tokens"": 178}, ""status"": ""needs_more_evidence"", ""exact_sku_verified"": false}",,"[{""text"": ""382"", ""score"": 0.26122021675109863}, {""text"": ""BE"", ""score"": 0.9634328484535217}, {""text"": ""io"", ""score"": 0.665249228477478}, {""text"": ""nРО"", ""score"": 0.5384777784347534}]",0.18
16,v3-warm-a,"[""A""]",4,"[""452:4:140""]",2857.223042632,886.81,"{""model"": ""jev-1.13.0"", ""answer"": {""type"": ""choice"", ""choice"": ""aqua-minerale-0-5l"", ""confidence"": 0.5, ""probabilities"": {""domik-v-derevne-2-5-930ml"": 0.01, ""other_product"": 0.05, ""senezhskaya-0-5l"": 0.01, ""stantsiya-molochnaya-kefir-1-0-430g"": 0.01, ""aqua-minerale-0-5l"": 0.56, ""saint-spring-0-75l"": 0.0, ""dobryi-cola-no-sugar-0-5l"": 0.0, ""prostokvashino-2-5-930ml"": 0.0, ""insufficient_evidence"": 0.36}}, ""usage"": {""input_tokens"": 2297, ""output_tokens"": 181}, ""status"": ""candidate"", ""exact_sku_verified"": false}",,"[{""text"": ""AKB"", ""score"": 0.9812813401222229}, {""text"": ""CKA"", ""score"": 0.9698147177696228}]",0.21
17,v3-warm-a,"[""S""]",5,"[""453:5:142""]",2857.452206306,871.88,"{""model"": ""jev-1.13.0"", ""answer"": {""type"": ""choice"", ""choice"": ""senezhskaya-0-5l"", ""confidence"": 0.98, ""probabilities"": {""domik-v-derevne-2-5-930ml"": 0.0, ""other_product"": 0.0, ""stantsiya-molochnaya-kefir-1-0-430g"": 0.0, ""senezhskaya-0-5l"": 0.99, ""insufficient_evidence"": 0.01, ""saint-spring-0-75l"": 0.0, ""prostokvashino-2-5-930ml"": 0.0, ""dobryi-cola-no-sugar-0-5l"": 0.0, ""aqua-minerale-0-5l"": 0.0}}, ""usage"": {""input_tokens"": 2265, ""output_tokens"": 181}, ""status"": ""candidate"", ""exact_sku_verified"": false}",,"[{""text"": ""CEНЕЖCKА"", ""score"": 0.566695511341095}]",0.2
18,v3-warm-a,"[""W""]",7,"[""463:7:160""]",2864.518449051,846.17,"{""model"": ""jev-1.13.0"", ""answer"": {""type"": ""choice"", ""choice"": ""insufficient_evidence"", ""confidence"": 0.87, ""probabilities"": {""dobryi-cola-no-sugar-0-5l"": 0.0, ""insufficient_evidence"": 0.89, ""stantsiya-molochnaya-kefir-1-0-430g"": 0.0, ""aqua-minerale-0-5l"": 0.01, ""prostokvashino-2-5-930ml"": 0.02, ""domik-v-derevne-2-5-930ml"": 0.07, ""senezhskaya-0-5l"": 0.0, ""other_product"": 0.01, ""saint-spring-0-75l"": 0.0}}, ""usage"": {""input_tokens"": 2264, ""output_tokens"": 178}, ""status"": ""needs_more_evidence"", ""exact_sku_verified"": false}",,"[{""text"": ""2,50"", ""score"": 0.7720906734466553}]",0.18
19,v3-warm-a,"[""D""]",2,"[""461:2:157"", ""466:2:163""]",2866.19303332,874.04,"{""model"": ""jev-1.13.0"", ""answer"": {""type"": ""choice"", ""choice"": ""insufficient_evidence"", ""confidence"": 0.69, ""probabilities"": {""senezhskaya-0-5l"": 0.02, ""saint-spring-0-75l"": 0.09, ""domik-v-derevne-2-5-930ml"": 0.02, ""aqua-minerale-0-5l"": 0.05, ""stantsiya-molochnaya-kefir-1-0-430g"": 0.02, ""other_product"": 0.05, ""prostokvashino-2-5-930ml"": 0.02, ""insufficient_evidence"": 0.72, ""dobryi-cola-no-sugar-0-5l"": 0.01}}, ""usage"": {""input_tokens"": 2370, ""output_tokens"": 178}, ""status"": ""needs_more_evidence"", ""exact_sku_verified"": false}",,"[{""text"": ""033"", ""score"": 0.9785776138305664}, {""text"": ""AE"", ""score"": 0.6068745255470276}, {""text"": ""T BИCЛEPТ"", ""score"": 0.3619174361228943}, {""text"": ""UCT"", ""score"": 0.855008602142334}]",0.18
20,v3-warm-a,"[""P""]",1,"[""452:1:137"", ""455:1:146"", ""459:1:152"", ""463:1:158"", ""468:1:167""]",2870.067858704,949.42,"{""model"": ""jev-1.13.0"", ""answer"": {""type"": ""choice"", ""choice"": ""insufficient_evidence"", ""confidence"": 0.69, ""probabilities"": {""other_product"": 0.02, ""saint-spring-0-75l"": 0.0, ""senezhskaya-0-5l"": 0.0, ""aqua-minerale-0-5l"": 0.0, ""prostokvashino-2-5-930ml"": 0.08, ""dobryi-cola-no-sugar-0-5l"": 0.0, ""insufficient_evidence"": 0.74, ""domik-v-derevne-2-5-930ml"": 0.16, ""stantsiya-molochnaya-kefir-1-0-430g"": 0.0}}, ""usage"": {""input_tokens"": 2413, ""output_tokens"": 178}, ""status"": ""needs_more_evidence"", ""exact_sku_verified"": false}",,"[{""text"": ""0812"", ""score"": 0.4889952540397644}, {""text"": ""2,5%"", ""score"": 0.9770960211753845}, {""text"": ""8812"", ""score"": 0.3484700918197632}, {""text"": ""U1"", ""score"": 0.39244168996810913}, {""text"": ""МОЛОКО"", ""score"": 0.9207799434661865}]",2634.6
21,v3-warm-a,"[""A""]",4,"[""452:4:140"", ""455:4:149"", ""459:4:153"", ""463:4:159"", ""467:4:165""]",2871.017394508,945.25,"{""model"": ""jev-1.13.0"", ""answer"": {""type"": ""choice"", ""choice"": ""insufficient_evidence"", ""confidence"": 0.44, ""probabilities"": {""stantsiya-molochnaya-kefir-1-0-430g"": 0.04, ""prostokvashino-2-5-930ml"": 0.01, ""senezhskaya-0-5l"": 0.01, ""saint-spring-0-75l"": 0.0, ""insufficient_evidence"": 0.5, ""other_product"": 0.07, ""dobryi-cola-no-sugar-0-5l"": 0.0, ""aqua-minerale-0-5l"": 0.36, ""domik-v-derevne-2-5-930ml"": 0.01}}, ""usage"": {""input_tokens"": 2330, ""output_tokens"": 178}, ""status"": ""needs_more_evidence"", ""exact_sku_verified"": false}",,"[{""text"": ""AKB"", ""score"": 0.990189254283905}, {""text"": ""CK"", ""score"": 0.9483124017715454}, {""text"": ""CKA"", ""score"": 0.9698147177696228}]",4285.63
22,v3-warm-a,"[""W""]",7,"[""463:7:160"", ""467:7:166""]",2877.963619376,942.78,"{""model"": ""jev-1.13.0"", ""answer"": {""type"": ""choice"", ""choice"": ""insufficient_evidence"", ""confidence"": 0.74, ""probabilities"": {""insufficient_evidence"": 0.77, ""saint-spring-0-75l"": 0.0, ""other_product"": 0.09, ""aqua-minerale-0-5l"": 0.01, ""senezhskaya-0-5l"": 0.0, ""domik-v-derevne-2-5-930ml"": 0.07, ""dobryi-cola-no-sugar-0-5l"": 0.0, ""stantsiya-molochnaya-kefir-1-0-430g"": 0.01, ""prostokvashino-2-5-930ml"": 0.05}}, ""usage"": {""input_tokens"": 2299, ""output_tokens"": 178}, ""status"": ""needs_more_evidence"", ""exact_sku_verified"": false}",,"[{""text"": ""2,50"", ""score"": 0.7720906734466553}, {""text"": ""3He"", ""score"": 0.5226054787635803}]",11034.04
23,v1-warm,"[""A""]",2,"[""478:2:173""]",2895.215775537,838.53,"{""model"": ""jev-1.13.0"", ""answer"": {""type"": ""choice"", ""choice"": ""aqua-minerale-0-5l"", ""confidence"": 0.79, ""probabilities"": {""dobryi-cola-no-sugar-0-5l"": 0.0, ""saint-spring-0-75l"": 0.0, ""domik-v-derevne-2-5-930ml"": 0.0, ""prostokvashino-2-5-930ml"": 0.0, ""insufficient_evidence"": 0.17, ""other_product"": 0.01, ""aqua-minerale-0-5l"": 0.81, ""senezhskaya-0-5l"": 0.0, ""stantsiya-molochnaya-kefir-1-0-430g"": 0.0}}, ""usage"": {""input_tokens"": 2260, ""output_tokens"": 181}, ""status"": ""candidate"", ""exact_sku_verified"": false}",,"[{""text"": ""AKBA"", ""score"": 0.98138028383255}]",0.19
24,v1-warm,"[""S""]",2,"[""487:2:180""]",2900.518203152,912.95,"{""model"": ""jev-1.13.0"", ""answer"": {""type"": ""choice"", ""choice"": ""senezhskaya-0-5l"", ""confidence"": 0.99, ""probabilities"": {""senezhskaya-0-5l"": 1.0, ""domik-v-derevne-2-5-930ml"": 0.0, ""saint-spring-0-75l"": 0.0, ""stantsiya-molochnaya-kefir-1-0-430g"": 0.0, ""aqua-minerale-0-5l"": 0.0, ""insufficient_evidence"": 0.0, ""dobryi-cola-no-sugar-0-5l"": 0.0, ""prostokvashino-2-5-930ml"": 0.0, ""other_product"": 0.0}}, ""usage"": {""input_tokens"": 2356, ""output_tokens"": 181}, ""status"": ""candidate"", ""exact_sku_verified"": false}",,"[{""text"": ""НЕГАЗНРОВАННАЯ"", ""score"": 0.7675383687019348}, {""text"": ""пЮТьЕВАН"", ""score"": 0.448184609413147}, {""text"": ""СЕНЕЖСКAЯ"", ""score"": 0.6695891618728638}]",0.18
25,v1-warm,"[""S""]",5,"[""499:5:194""]",2907.426045631,912.0,"{""model"": ""jev-1.13.0"", ""answer"": {""type"": ""choice"", ""choice"": ""senezhskaya-0-5l"", ""confidence"": 0.94, ""probabilities"": {""stantsiya-molochnaya-kefir-1-0-430g"": 0.0, ""saint-spring-0-75l"": 0.0, ""domik-v-derevne-2-5-930ml"": 0.0, ""dobryi-cola-no-sugar-0-5l"": 0.0, ""senezhskaya-0-5l"": 0.95, ""other_product"": 0.01, ""aqua-minerale-0-5l"": 0.0, ""prostokvashino-2-5-930ml"": 0.01, ""insufficient_evidence"": 0.03}}, ""usage"": {""input_tokens"": 2311, ""output_tokens"": 181}, ""status"": ""candidate"", ""exact_sku_verified"": false}",,"[{""text"": ""пнтосоля"", ""score"": 0.27465906739234924}, {""text"": ""СЕНЕЖСКAЯ"", ""score"": 0.6482658982276917}]",0.26
26,v1-warm,"[""A""]",3,"[""525:3:245""]",2922.70988502,819.15,"{""model"": ""jev-1.13.0"", ""answer"": {""type"": ""choice"", ""choice"": ""aqua-minerale-0-5l"", ""confidence"": 0.72, ""probabilities"": {""insufficient_evidence"": 0.21000000000000002, ""dobryi-cola-no-sugar-0-5l"": 0.0, ""prostokvashino-2-5-930ml"": 0.0, ""other_product"": 0.03, ""senezhskaya-0-5l"": 0.0, ""domik-v-derevne-2-5-930ml"": 0.0, ""saint-spring-0-75l"": 0.0, ""stantsiya-molochnaya-kefir-1-0-430g"": 0.0, ""aqua-minerale-0-5l"": 0.76}}, ""usage"": {""input_tokens"": 2296, ""output_tokens"": 181}, ""status"": ""candidate"", ""exact_sku_verified"": false}",,"[{""text"": ""AKBA"", ""score"": 0.9821045994758606}, {""text"": ""CAA"", ""score"": 0.5056195855140686}]",0.15
27,v1-warm,"[""P""]",2,"[""535:2:264""]",2929.220231455,856.32,"{""model"": ""jev-1.13.0"", ""answer"": {""type"": ""choice"", ""choice"": ""insufficient_evidence"", ""confidence"": 0.83, ""probabilities"": {""senezhskaya-0-5l"": 0.0, ""dobryi-cola-no-sugar-0-5l"": 0.0, ""saint-spring-0-75l"": 0.0, ""prostokvashino-2-5-930ml"": 0.04, ""other_product"": 0.01, ""domik-v-derevne-2-5-930ml"": 0.1, ""stantsiya-molochnaya-kefir-1-0-430g"": 0.0, ""insufficient_evidence"": 0.85, ""aqua-minerale-0-5l"": 0.0}}, ""usage"": {""input_tokens"": 2303, ""output_tokens"": 178}, ""status"": ""needs_more_evidence"", ""exact_sku_verified"": false}",,"[{""text"": ""2,5%"", ""score"": 0.9637609720230103}, {""text"": ""МОЛОКО"", ""score"": 0.9061595797538757}]",0.19
28,v1-warm,"[""D""]",6,"[""536:6:266""]",2930.662371659,10026.91,,RuntimeError,"[{""text"": ""OMUK"", ""score"": 0.4803677797317505}, {""text"": ""БОЛЬШЕ"", ""score"": 0.9682127833366394}, {""text"": ""Вдеревне"", ""score"": 0.6365007162094116}, {""text"": ""СВЯТC"", ""score"": 0.6144527196884155}, {""text"": ""УЗНАТЬ"", ""score"": 0.8416313529014587}, {""text"": ""УСТОЧИ"", ""score"": 0.5747949481010437}, {""text"": ""ФЕПМ"", ""score"": 0.7156755924224854}]",0.25
29,v1-warm,"[""P""]",2,"[""535:2:264"", ""543:2:270"", ""548:2:273""]",2942.689729938,842.82,"{""model"": ""jev-1.13.0"", ""answer"": {""type"": ""choice"", ""choice"": ""insufficient_evidence"", ""confidence"": 0.82, ""probabilities"": {""aqua-minerale-0-5l"": 0.0, ""saint-spring-0-75l"": 0.0, ""senezhskaya-0-5l"": 0.0, ""domik-v-derevne-2-5-930ml"": 0.09, ""insufficient_evidence"": 0.84, ""prostokvashino-2-5-930ml"": 0.05, ""dobryi-cola-no-sugar-0-5l"": 0.0, ""stantsiya-molochnaya-kefir-1-0-430g"": 0.0, ""other_product"": 0.02}}, ""usage"": {""input_tokens"": 2338, ""output_tokens"": 178}, ""status"": ""needs_more_evidence"", ""exact_sku_verified"": false}",,"[{""text"": ""2,5%"", ""score"": 0.9867290258407593}, {""text"": ""LR"", ""score"": 0.17540530860424042}, {""text"": ""МОЛОКО"", ""score"": 0.9061595797538757}]",4861.56
